,TimeToRun-fold0,TimeToRun-fold1,TimeToRun-fold2,TimeToRun-fold3,TimeToRun-fold4,rocAUC-fold0,rocAUC-fold1,rocAUC-fold2,rocAUC-fold3,rocAUC-fold4,F1score-fold0,F1score-fold1,F1score-fold2,F1score-fold3,F1score-fold4,Accuracy-fold0,Accuracy-fold1,Accuracy-fold2,Accuracy-fold3,Accuracy-fold4
"('0.05', '5000', 'None', 'ZandZZ', 'None')",13475.304213762283,11179.98764872551,12648.367455482483,11216.722831964493,12457.542966842651,0.9775026570086494,0.9838472685810595,0.982455830900098,0.9791130083627461,0.9803356954954487,0.9662119087084025,0.9648798521256932,0.9580456718003186,0.9543367346938776,0.9673134522724313,0.947,0.9468,0.9368,0.9284,0.9498
"('0.1', '1000', 'None', 'ZandZZ', 'None')",13611.511869430542,11541.142052412033,14001.597580909729,11449.440729379654,11937.778870105743,0.9758283807241955,0.9840745474782924,0.9823086156428988,0.9699195522910108,0.9770698217570647,0.9673885350318471,0.9655899802241267,0.9610699152542372,0.9558654215172062,0.9676076492780018,0.9488,0.9478,0.9412,0.931,0.9502
"('0.1', '5000', 'None', 'ZandZZ', 'None')",14385.20468044281,11230.220148801804,13167.838830947876,11466.29989027977,11885.595116615295,0.9761647022328952,0.9850148494114642,0.9831806003307029,0.9712850788401681,0.9794390096677934,0.9675200611387085,0.9663721482262957,0.9625314444591553,0.9568004102038201,0.9681280083257447,0.949,0.949,0.9434,0.9326,0.951
"('0.3', '1000', 'None', 'ZandZZ', 'None')",13389.106622695923,11275.93752336502,12830.015020132065,11438.37601852417,11891.539224386215,0.9736933806291183,0.9831263928685132,0.9824420365365203,0.9668667701852383,0.9768364009152071,0.9671755725190839,0.9681848184818482,0.9637182203389829,0.9545454545454546,0.9702404158544508,0.9484,0.9518,0.9452,0.9292,0.9542
"('0.3', '5000', 'None', 'ZandZZ', 'None')",13434.997879266739,11104.431205511093,11331.65699005127,11519.93285036087,11565.824578523636,0.9718344482574629,0.9809538937945682,0.9817170409688076,0.9632630519960006,0.9758654957804866,0.9671002295332823,0.967673835598364,0.963051251489869,0.9533213644524238,0.9690828786697844,0.9484,0.951,0.9442,0.9272,0.9524
"('0.5', '1000', 'None', 'ZandZZ', 'None')",12918.589641571045,11312.053778409958,11210.832975625992,12948.745997428894,11229.826955795288,0.9676854138415546,0.9795626238619508,0.9790615129115242,0.9584143728293781,0.9734954109597027,0.9665132924335378,0.9671373894681272,0.9626687847498014,0.9527609730982108,0.9685059864653826,0.9476,0.9502,0.9436,0.9266,0.9516
"('0.5', '5000', 'None', 'ZandZZ', 'None')",13136.774025440216,11613.37152004242,11163.7484228611,12663.689939975739,10564.730956792831,0.9668120776077919,0.9792168817290426,0.9743372825917846,0.960736474574355,0.9681570023113372,0.9625367600051145,0.9677930306230201,0.9591511936339523,0.9509930358524632,0.9633015541334726,0.9414,0.9512,0.9384,0.924,0.9438
"('0.0001', '100', 'None', 'ZandZZ', 'None')",12871.812891244888,11232.773104429245,10721.724818468094,11132.97572851181,13770.81358718872,0.9408239098016872,0.9411760482594094,0.9357521862935585,0.9461173469568013,0.941830225689477,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('0.0001', '500', 'None', 'ZandZZ', 'None')",13849.806970834732,10524.950739145279,10571.038003206253,10960.245054483414,16705.672139644623,0.9407806095529514,0.9412247348543743,0.9357971875780173,0.9460647927332082,0.941830225689477,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
"('0.0001', '1000', 'None', 'ZandZZ', 'None')",13030.49795460701,10566.347700119019,12644.514933109283,10313.039311170578,14069.430324792862,0.9408497983101907,0.9412258566653182,0.9357646238344894,0.9460957069823808,0.941830225689477,0.8729854615124535,0.8686502998076706,0.8703117939448712,0.8651838402178846,0.8685222901108849,0.7746,0.7678,0.7704,0.7624,0.7676
